éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
ùé	6426	5	22894
ùû	64BC	5	22910
ù°	64C5	5	23075
ù§	64D8	5	23078
ù©	64E0	5	23083
û]	6789	5	23358
û÷	69B4	5	23640
ûÁ	6A12	5	23657
ü[	6B47	5	23868
ü•	884D	5	24103
üµ	6D8E	5	24119
üÀ	6DEA	5	24141
üÎ	6ED4	5	24173
ü¯	6EF2	5	24186
ü˘	6F31	5	24187
‡»	731C	5	24650
‡÷	7370	5	24664
‡˙	74CF	5	24700
·∏	76E7	5	25146
·Ã	7765	5	25166
·˚	78CA	5	25213
‚π	7BC1	5	25659
‚æ	7BDD	5	25664
‚Ÿ	7C50	5	25691
„^	7DBD	5	25919
„o	7E0A	5	25936
„|	7E39	5	25949
„•	7F55	5	26151
„÷	804A	5	26200
„¯	811B	5	26234
‰H	8165	5	26409
‰Ú	8517	5	26740
ÂI	85A8	5	26922
Âm	8693	5	26958
Ât	86AF	5	26965
Âø	8822	5	27201
ÂÎ	8904	5	27245
Â¸	895E	5	27262
Êf	8A5B	5	27463
Ê∏	8C82	5	27706
ÁL	8E72	5	27949
Án	8F1C	5	27983
Áû	8FF8	5	28030
ÁÍ	9264	5	28268
Ëœ	9760	5	28753
Ë›	978F	5	28767
Èn	99ED	5	29007
!	21	4	33
6	36	4	54
C	43	4	67
J	4A	4	74
U	55	4	85
W	57	4	87
Åú	25CF	4	8572
ÇX	FF19	4	9017
ÉŒ	3C0	4	9808
à¥	65A1	4	12342
àø	88B7	4	12353
à‹	7DEF	4	12382
âX	53A9	4	12601
âZ	74DC	4	12603
âd	5B30	4	12613
â„	5CE8	4	12901
ä@	9B41	4	13089
ä~	6A2B	4	13151
äŒ	839E	4	13392
ãa	87FB	4	13634
ãÄ	673D	4	13664
åe	61A9	4	14150
åø	8AFA	4	14401
å‘	83F0	4	14422
åÙ	5016	4	14454
ç@	540E	4	14625
çW	6643	4	14648
çY	676D	4	14650
çp	818F	4	14673
çÖ	52AB	4	14693
ç¬	50B5	4	14916
ç“	7280	4	14932
è^	620E	4	15679
èz	5FAA	4	15707
èé	5EB6	4	15726
è≤	5F70	4	15924
è◊	8A1F	4	15961
èﬁ	9266	4	15968
è˙	5631	4	15996
êÄ	9017	4	16224
ê≤	6816	4	16436
ê¿	901D	4	16450
ê∆	8106	4	16456
ëE	85A6	4	16678
ëv	5B8B	4	16727
ëŸ	80CE	4	16987
ë⁄	817F	4	16988
í]	7DBB	4	17214
íÇ	7A92	4	17250
íØ	8139	4	17457
íœ	4F43	4	17489
í¯	8247	4	17530
ìg	5835	4	17736
ìÜ	5B95	4	17766
ì‘	5C6F	4	18006
ì◊	6C8C	4	18009
îD	598A	4	18213
îï	8236	4	18293
îÆ	9197	4	18480
î∂	567A	4	18488
î◊	8543	4	18521
îÂ	6CCC	4	18535
îË	7891	4	18538
ïc	82D7	4	18756
ïe	92F2	4	18758
ïo	8CD3	4	18768
ñb	80AA	4	19267
ñõ	9EBF	4	19323
ñ§	5DF3	4	19494
ñ’	8017	4	19543
ñÁ	4E5F	4	19561
ñË	51B6	4	19562
óG	5BA5	4	19752
óÜ	87BA	4	19814
óå	6D1B	4	19820
ó–	5398	4	20050
ó‰	5DBA	4	20070
óÊ	73B2	4	20072
ò]	808B	4	20286
ò¥	4EA2	4	20534
ò∫	4EC4	4	20540
òª	4EC6	4	20541
ò›	4FE4	4	20575
ôa	516E	4	20802
ôä	5233	4	20842
ôÒ	5476	4	21107
öB	54A4	4	21283
öj	55DA	4	21323
öq	5614	4	21330
öÇ	562F	4	21346
öã	56A5	4	21355
öè	56C2	4	21359
ö•	55C7	4	21543
öﬁ	58DC	4	21600
õC	4F5E	4	21796
õ\	5ABE	4	21821
õå	5BE5	4	21868
õò	5C28	4	21880
õ‘	5DBD	4	22102
õ˘	5EC2	4	22139
úä	603A	4	22378
ú™	60B4	4	22572
ú·	61AE	4	22627
ùë	6417	4	22897
ùï	646F	4	22901
ùö	6493	4	22906
ù•	64C2	4	23079
ù¬	6556	4	23108
ûk	67B3	4	23372
ûÄ	68B3	4	23392
ûÜ	689F	4	23398
û°	68D5	4	23587
û‘	699C	4	23638
üL	6ADA	4	23853
üO	6B05	4	23856
ü~	6BEF	4	23903
ü˜	6F3F	4	24185
ü˚	6F32	4	24189
‡^	6FD8	4	24383
‡p	703E	4	24401
‡w	70F1	4	24408
‡ì	71D7	4	24435
‡ﬁ	73BB	4	24672
‡Ì	7459	4	24687
‡Ú	7463	4	24692
‡Û	746A	4	24693
·n	75A3	4	24911
·p	75B3	4	24913
·u	75BC	4	24918
·ã	7620	4	24939
·æ	7704	4	25152
·‘	779E	4	25174
‚I	792B	4	25386
‚z	7A98	4	25435
‚ë	7AED	4	25457
‚≥	7B8B	4	25653
‚≈	7C00	4	25671
‚∆	7C07	4	25672
„d	7DB8	4	25925
„å	7E7B	4	25964
„ò	7E94	4	25976
„Ê	8086	4	26216
‰]	81C2	4	26430
‰l	8201	4	26445
‰r	8210	4	26451
‰—	846D	4	26707
Âî	871A	4	26996
Âù	876E	4	27005
Â¢	8805	4	27172
Â¥	87E0	4	27190
Âª	87D2	4	27197
Â¯	8938	4	27258
ÊA	8964	4	27426
Êk	8A6D	4	27468
Êr	8AA1	4	27475
Êù	8B5A	4	27517
ÊÎ	8DCB	4	27757
Áñ	900D	4	28022
Á∞	9081	4	28210
ËJ	936E	4	28459
Ëp	9475	4	28497
Ëè	95D6	4	28527
ÈS	991E	4	28980
È[	9949	4	28988
ÈÅ	9A55	4	29025
ÍA	9D5E	4	29474
ÍG	9D89	4	29480
Ín	9EA9	4	29519
Íú	9F95	4	29564
Í£	51DC	4	29733
5	35	3	53
F	46	3	70
V	56	3	86
q	71	3	113
Çi	FF2A	3	9034
Çt	FF35	3	9045
Çx	FF39	3	9049
ÉD	30A5	3	9509
âT	6B1D	3	12597
â÷	8304	3	12888
äM	51F1	3	13102
äV	788D	3	13111
äb	920E	3	13123
ä„	7FEB	3	13413
ãO	8ECC	3	13616
ã_	7947	3	13632
ãj	6854	3	13643
ã“	65A4	3	13908
ã‘	6B3D	3	13910
ã◊	79BD	3	13913
åj	6842	3	14155
åu	86CD	3	14166
å∑	5F26	3	14393
çf	7CE0	3	14663
çw	8CFC	3	14680
ç©	6606	3	14891
ç¥	5506	3	14902
çÛ	7A84	3	14965
éK	9306	3	15148
éN	6652	3	15151
é•	78C1	3	15399
é√	5072	3	15429
é«	854A	3	15433
è}	6B89	3	15710
êé	9318	3	16238
ê	6813	3	16498
ëd	79DF	3	16709
íG	7AEA	3	17192
í}	7B51	3	17246
í∂	929A	3	17464
í”	8526	3	17493
í€	7D2C	3	17501
ìC	9F0E	3	17700
ìU	586B	3	17718
ìb	6FB1	3	17731
ìm	675C	3	17742
ìu	7825	3	17750
ìë	6DD8	3	17777
ì¿	6D9C	3	17986
ì 	51F8	3	17996
ì÷	6566	3	18008
ìË	6962	3	18026
îA	5C3F	3	18210
îS	7C98	3	18228
îa	86A4	3	18242
îf	6777	3	18247
îî	7C95	3	18292
îü	51FD	3	18465
î√	6C3E	3	18501
îÃ	8CA9	3	18510
î–	9812	3	18514
î¯	6787	3	18554
ïU	4FF5	3	18742
ï[	7968	3	18748
ïh	9C2D	3	18761
ï≠	58B3	3	18991
ï∏	4E19	3	19002
ï‹	8217	3	19038
ïË	620A	3	19050
ïÓ	4FF8	3	19056
ñä	69D9	3	19306
ñì	4FE3	3	19315
ñó	6CAB	3	19319
ñÀ	9EBA	3	19533
ó@	8AED	3	19745
óK	63D6	3	19756
óO	6D8C	3	19760
óS	7950	3	19764
óW	9091	3	19768
óâ	83B1	3	19817
òŒ	4F69	3	20560
ò÷	4FDF	3	20568
òﬁ	4FE5	3	20576
òÒ	5055	3	20595
ôF	50E5	3	20775
ôà	522A	3	20840
ô˘	54AC	3	21115
ô˙	54C4	3	21116
ön	55DC	3	21327
öÖ	5686	3	21349
öÜ	5680	3	21350
öâ	5694	3	21353
ö¨	5740	3	21550
ö‘	58BB	3	21590
õA	5981	3	21794
õU	5A49	3	21814
õW	5A36	3	21816
õZ	5A9A	3	21819
õd	5AD6	3	21829
õÑ	5BC7	3	21860
õñ	5C20	3	21878
õõ	5C41	3	21883
õﬁ	5DEB	3	22112
õ‚	5E1A	3	22116
õÛ	5E76	3	22133
úI	5EEC	3	22314
ú]	5F4E	3	22334
úí	604D	3	22386
úó	606C	3	22391
úº	610D	3	22590
úÎ	7F79	3	22637
ùM	6268	3	22830
ùP	6289	3	22833
ù|	639F	3	22877
ùá	63D2	3	22887
ùî	6467	3	22900
ùõ	64A5	3	22907
ù†	64D2	3	23074
ù±	64F2	3	23091
ùÎ	6664	3	23149
ù	6670	3	23154
ûW	6746	3	23352
ûX	675E	3	23353
û{	6840	3	23388
ûΩ	6930	3	23615
û»	69D3	3	23626
üÄ	9EBE	3	23904
üÅ	6C08	3	23905
üî	6C90	3	23924
ü§	6D1F	3	24102
üÈ	6EC4	3	24171
üı	6EF8	3	24183
‡ë	71A8	3	24433
‡¨	7240	3	24622
‡¥	7287	3	24630
‡æ	72CE	3	24640
·P	7515	3	24881
·y	75D2	3	24922
·é	7624	3	24942
·™	7699	3	25132
·¨	76B0	3	25134
·”	77A0	3	25173
·’	77B0	3	25175
·‡	77DC	3	25186
·Ê	7926	3	25192
‚@	78E7	3	25377
‚G	7919	3	25384
‚u	7A79	3	25430
‚ê	7AE6	3	25456
‚ö	7B1E	3	25466
‚°	7B4D	3	25635
‚•	7B75	3	25639
‚ﬂ	7C6C	3	25697
‚ˆ	9B3B	3	25720
„ê	8FAE	3	25968
„ï	7E92	3	25973
„¢	7F4E	3	26148
„∑	7F9A	3	26169
„Ã	8004	3	26190
„’	803B	3	26199
„Ÿ	8058	3	26203
‰\	81C0	3	26429
‰b	81D9	3	26435
‰z	8258	3	26459
‰Ö	8271	3	26469
‰Ê	84D9	3	26728
ÂG	8591	3	26920
ÂH	858A	3	26921
Â´	96D6	3	27181
Â¿	8821	3	27202
Â¡	8831	3	27203
Êc	8A25	3	27460
Êá	8ADB	3	27495
Êß	8B92	3	27689
Êœ	8CFA	3	27729
Ê’	8D0F	3	27735
ÊÌ	8DEB	3	27759
ÊÔ	8DE3	3	27761
Ê¯	8E42	3	27770
ÁE	8E59	3	27942
ÁH	8E2A	3	27945
ÁP	8E85	3	27953
ÁU	8E91	3	27958
ÁW	8E99	3	27960
Áê	9005	3	28016
ÁÆ	9082	3	28208
ÁØ	907D	3	28209
Á 	918B	3	28236
ËQ	93D6	3	28466
Ëq	9477	3	28498
Ëw	947F	3	28504
ËÅ	95A8	3	28513
ËÑ	95BC	3	28516
Ëá	95BE	3	28519
Ë©	96A7	3	28715
Ë≠	96B4	3	28719
ÈJ	98E9	3	28971
ÈZ	9942	3	28987
Èl	99D8	3	29005
Èv	9A05	3	29015
È≤	9B4E	3	29236
È„	9C5A	3	29285
Ít	9ECE	3	29525
Íå	9F2C	3	29548
Íç	9F3E	3	29549
`	60	2	96
x	78	2	120
ÅY	3006	2	8506
Ån	FF3D	2	8527
Åï	FF06	2	8565
Çc	FF24	2	9028
Çl	FF2D	2	9037
Çn	FF2F	2	9039
Çp	FF31	2	9041
Ç£	3045	2	9253
ÇÏ	308E	2	9326
ÇÔ	3091	2	9329
Ñ¢	2510	2	10276
Ñ£	2518	2	10277
Ñ•	251C	2	10279
àÔ	8328	2	12401
âW	59E5	2	12600
âÅ	5830	2	12641
äå	8910	2	13164
äç	8F44	2	13165
ä‡	764C	2	13410
ãB	6BC5	2	13603
ãÆ	5F4A	2	13872
ã∏	77EF	2	13882
ãË	7396	2	13930
ål	7566	2	14157
åt	834A	2	14165
çG	5B8F	2	14632
çµ	5D6F	2	14903
ç‰	583A	2	14950
éy	5B5C	2	15194
é†	6ECB	2	15394
é§	75D4	2	15398
é¬	7BE0	2	15428
éŸ	52FA	2	15451
èi	6DD1	2	15690
èw	821C	2	15704
èí	85AF	2	15730
è“	83D6	2	15956
êI	8755	2	16170
êP	5A20	2	16177
êY	699B	2	16186
êc	82AF	2	16196
êy	7B25	2	16218
êÉ	5E25	2	16227
êâ	7FE0	2	16233
êê	745E	2	16240
êñ	8DA8	2	16246
ëÇ	66F9	2	16738
ëá	71E5	2	16743
ë«	8235	2	16969
ë˚	86F8	2	17021
íª	6357	2	17469
íƒ	589C	2	17478
í’	9354	2	17495
í¸	9013	2	17534
ìR	8FED	2	17715
ìt	934D	2	17749
ìœ	82EB	2	18001
î|	57F9	2	18269
îÖ	8CE0	2	18277
îÜ	966A	2	18278
î∑	5859	2	18489
ïB	7A17	2	18723
ïf	849C	2	18759
ïì	856A	2	18803
ïñ	6953	2	18806
ï§	5F17	2	18982
ïÕ	7B86	2	19023
ï„	8F14	2	19045
ñB	70F9	2	19235
ñH	84EC	2	19241
ñy	5E4C	2	19290
ñé	9BAA	2	19310
ñë	685D	2	19313
ñ¶	5CAC	2	19496
ñ©	6E4A	2	19499
ñƒ	725D	2	19526
ñÃ	6478	2	19534
óè	916A	2	19823
óü	75E2	2	20001
óŸ	9E9F	2	20059
óÂ	601C	2	20071
òB	932C	2	20259
òi	4E99	2	20298
òj	4E98	2	20299
ò†	4E10	2	20514
ò—	4F6F	2	20563
ôb	5180	2	20803
ôz	51DB	2	20827
ôÄ	51F0	2	20832
ôí	526A	2	20850
ô≥	530D	2	21045
ôÀ	5396	2	21069
ôÃ	53A0	2	21070
ôÿ	53EE	2	21082
ô⁄	53ED	2	21084
ôﬁ	5440	2	21088
ô‡	542D	2	21090
öF	54E5	2	21287
ö\	5580	2	21309
ö^	558A	2	21311
ög	55A9	2	21320
öh	5587	2	21321
ö{	5634	2	21340
ö¶	571C	2	21544
öø	580A	2	21569
öÀ	5852	2	21581
ö–	589F	2	21586
öÓ	592D	2	21616
öÛ	5955	2	21621
öˆ	595A	2	21624
ö¸	5969	2	21630
õÅ	5BA6	2	21857
õ∑	5CED	2	22073
õ∫	5D0B	2	22076
õº	5D17	2	22078
õ€	5DD2	2	22109
õÂ	5E1B	2	22119
õÒ	5E47	2	22131
úR	5F5D	2	22323
úT	5F0B	2	22325
úa	5F57	2	22338
úi	5F7F	2	22346
ú}	6021	2	22366
ú~	6060	2	22367
úè	605F	2	22383
úõ	608D	2	22395
úû	609A	2	22398
ú§	60A7	2	22566
ú´	5FF0	2	22573
ú∫	60FB	2	22588
ú¬	614A	2	22596
ú≈	612C	2	22599
ú∆	6134	2	22600
úÕ	6159	2	22607
úŒ	615A	2	22608
úÊ	61C8	2	22632
ú	61FA	2	22642
ù@	621E	2	22817
ùd	62C7	2	22853
ùy	63A3	2	22874
ùz	638F	2	22875
ù~	636B	2	22879
ùò	652A	2	22904
ù¶	64F1	2	23080
ù≠	64EF	2	23087
ùœ	65AB	2	23121
ù—	65C3	2	23123
ù”	65C1	2	23125
ù‘	65C4	2	23126
ûN	6726	2	23343
ûg	67B7	2	23368
ûy	6846	2	23386
û~	684E	2	23391
ûá	688F	2	23399
û®	68F9	2	23594
ûµ	696B	2	23607
û≈	69D0	2	23623
ûŒ	69BB	2	23632
ûÎ	6A44	2	23661
üC	6AC3	2	23844
üS	6B16	2	23860
üY	6B39	2	23866
üu	6BB7	2	23894
üv	6BBC	2	23895
üä	6C6A	2	23914
üò	6CBD	2	23928
ü†	6CDB	2	24098
ü∂	6D95	2	24120
üø	6DB8	2	24129
üŒ	6E6E	2	24144
ü⁄	6E43	2	24156
üË	6EAF	2	24170
‡O	6F8E	2	24368
‡l	701D	2	24397
‡t	7099	2	24405
‡Å	7109	2	24417
‡ä	714C	2	24426
‡ú	71E7	2	24444
‡†	71FF	2	24610
‡ß	7230	2	24617
‡Õ	7329	2	24655
‡ﬂ	73C0	2	24673
‡Ê	7425	2	24680
‡Í	7455	2	24684
·O	750D	2	24880
·b	7578	2	24899
·k	759A	2	24908
·Ç	75F0	2	24930
·ü	7672	2	25121
·Ω	7707	2	25151
·√	7726	2	25157
·≈	7737	2	25159
·—	778B	2	25171
··	77E3	2	25187
·‚	77EE	2	25188
‚B	78FD	2	25379
‚J	7940	2	25387
‚K	7960	2	25388
‚b	7A08	2	25411
‚|	7AA9	2	25437
‚}	7AC8	2	25438
‚î	7B0F	2	25460
‚ø	7BE9	2	25665
‚—	7C37	2	25683
„g	7DD8	2	25928
„j	7DDE	2	25931
„}	7E43	2	25950
„~	7E37	2	25951
„Ü	7E59	2	25958
„à	7E79	2	25960
„´	7F69	2	26157
„±	7F88	2	26163
„π	7FAF	2	26171
„…	7FF9	2	26187
„À	8006	2	26189
„⁄	805A	2	26204
„‡	8070	2	26210
„Û	80DA	2	26229
‰@	968B	2	26401
‰G	816E	2	26408
‰O	8182	2	26416
‰P	81A0	2	26417
‰^	81BA	2	26431
‰É	826B	2	26467
‰â	828D	2	26473
‰ú	82DC	2	26492
‰∞	83A2	2	26674
‰≤	8323	2	26676
‰º	83A8	2	26686
‰ø	83EB	2	26689
‰Â	849F	2	26727
‰Ë	84BB	2	26730
‰Ï	84C6	2	26734
‰	84FF	2	26738
Âl	8671	2	26957
ÂÄ	86DF	2	26976
Â»	8852	2	27210
Â›	88BF	2	27231
Âﬁ	88B1	2	27232
Â‚	88D8	2	27236
Â„	88D9	2	27237
ÂÓ	8913	2	27248
ÂÙ	8941	2	27254
ÊE	8974	2	27430
Ê]	8A03	2	27454
Êl	8A6C	2	27469
Ên	8A85	2	27471
Êq	8AA8	2	27474
Êx	8AC4	2	27481
Êê	8B33	2	27504
Êû	8B6B	2	27518
Êπ	8C89	2	27707
Ê»	8CB6	2	27722
Ê 	8CC1	2	27724
Ê˙	8E30	2	27772
ÁD	8E48	2	27941
ÁG	8E60	2	27944
Á`	8EC8	2	27969
Át	8F3B	2	27989
Áx	8F3E	2	27993
Áë	8FF9	2	28017
Á™	906F	2	28204
Áø	9119	2	28225
Á¬	914A	2	28228
Á«	9169	2	28233
Á—	91B5	2	28243
Ëx	9582	2	28505
ËÉ	95AD	2	28515
ËÖ	95BB	2	28517
ËÜ	95B9	2	28518
Ëì	95E2	2	28531
Ë∫	9704	2	28732
Ë∆	9739	2	28744
ËÃ	9742	2	28750
Ë“	9768	2	28756
Ë”	52D2	2	28757
Ë◊	9785	2	28761
Ë€	9786	2	28765
ËÈ	97DC	2	28779
Ë˜	9846	2	28793
ÈE	98B1	2	28966
ÈF	98B6	2	28967
È_	9951	2	28992
Èa	994C	2	28994
Èk	99DD	2	29004
È}	9A40	2	29022
Èê	9ACF	2	29040
Èë	9AD1	2	29041
È°	9B18	2	29219
È®	9B28	2	29226
È±	9B4D	2	29235
Èµ	9B74	2	29239
Èª	9B9F	2	29245
È¡	9BB9	2	29251
È≈	9BD2	2	29255
È€	9C25	2	29277
È‹	9C24	2	29278
Èﬂ	9C47	2	29281
È˘	9D3F	2	29307
Íq	9EAD	2	29522
&	26	1	38
:	3A	1	58
Y	59	1	89
_?	3F	1	95
ÅV	3003	1	8503
Åm	FF3B	1	8526
Å{	FF0B	1	8540
Åù	25CE	1	8573
ÇO	FF10	1	9008
Çd	FF25	1	9029
Çe	FF26	1	9030
Ço	FF30	1	9040
Çw	FF38	1	9048
à≠	6E25	1	12335
àÆ	65ED	1	12336
à±	9BF5	1	12339
à≤	6893	1	12340
à∏	867B	1	12346
à∫	7D62	1	12348
à“	60DF	1	12372
àÂ	4EA5	1	12391
àÒ	9C2F	1	12403
âN	4E11	1	12591
âO	7893	1	12592
âP	81FC	1	12593
â[	958F	1	12604
âÇ	5944	1	12642
â¨	837B	1	12846
âﬁ	8FE6	1	12896
äN	52BE	1	13103
äú	6822	1	13180
ä¿	6F97	1	13378
äÀ	7FF0	1	13389
ãb	8ABC	1	13635
ãf	97A0	1	13639
ãm	7827	1	13646
ãn	6775	1	13647
ão	9ECD	1	13648
ãö	79A6	1	13690
ã⁄	82B9	1	13916
ã¯	4E32	1	13946
åM	52F2	1	14126
åz	981A	1	14171
å•	786F	1	14375
å 	5F27	1	14412
åÿ	9237	1	14426
åÒ	4F7C	1	14451
çM	5E9A	1	14638
çh	7D18	1	14665
ço	8154	1	14672
çî	9D60	1	14708
çÕ	683D	1	14927
çÓ	548B	1	14960
éI	9BD6	1	15146
éÉ	7949	1	15203
éê	8AEE	1	15216
é¨	6C50	1	15406
é‡	932B	1	15458
èY	4EC0	1	15674
èg	5919	1	15688
è|	696F	1	15709
è~	6DF3	1	15711
èÖ	9075	1	15717
èÜ	9187	1	15718
èì	85F7	1	15731
èö	6055	1	15738
è 	7901	1	15948
è”	848B	1	15957
èﬂ	937E	1	15969
èÔ	64FE	1	15985
èı	7A63	1	15991
êW	664B	1	16184
ê]	75B9	1	16190
ê|	9162	1	16221
êì	5D69	1	16243
êï	67A2	1	16245
ê◊	78A9	1	16473
êÔ	64B0	1	16497
ê˚	7BAD	1	16509
ëB	817A	1	16675
ëk	9061	1	16716
ëô	9397	1	16761
ëÌ	5544	1	17007
íF	5DFD	1	17191
íR	5766	1	17203
í≥	8ADC	1	17461
íÃ	6802	1	17486
í—	67D8	1	17491
í⁄	5B2C	1	17500
ìÑ	5858	1	17764
ìâ	60BC	1	17769
ì£	8B04	1	17957
ì»	6803	1	17994
ì‚	51EA	1	18020
ìÊ	637A	1	18024
ì˘	5EFF	1	18043
îB	97EE	1	18211
îQ	649A	1	18226
îà	877F	1	18280
îâ	79E4	1	18281
îì	7B94	1	18291
î£	8087	1	18469
î≥	7B4F	1	18485
îÓ	8AB9	1	18544
îÙ	7C38	1	18550
ïJ	5F3C	1	18731
ïu	57E0	1	18774
ï∆	50FB	1	19016
ïÎ	7C3F	1	19053
ñQ	9D6C	1	19250
ñm	535C	1	19278
ñö	7E6D	1	19322
ñ´	7A14	1	19501
ñ€	6762	1	19549
ñ‡	7C7E	1	19554
ñ˜	85AE	1	19577
óM	67DA	1	19758
ós	8000	1	19796
óæ	5BEE	1	20032
ó≈	7A1C	1	20039
òW	807E	1	20280
òd	8CC4	1	20293
ò•	4E3C	1	20519
òø	4EED	1	20545
ò 	4F88	1	20556
òÃ	4F98	1	20558
òÕ	4F7B	1	20559
ò–	4F91	1	20562
òÿ	4FD8	1	20570
ò‡	5028	1	20578
ò„	5025	1	20581
òˆ	506C	1	20600
ò˘	509A	1	20603
ôN	5102	1	20783
ôP	5115	1	20785
ôR	511A	1	20787
ôV	513C	1	20791
ôW	513B	1	20792
ôY	5140	1	20794
ô]	5162	1	20798
ôl	51A4	1	20813
ôu	51B0	1	20822
ôy	51C9	1	20826
ôÇ	51FE	1	20834
ôé	524B	1	20846
ôõ	5271	1	20859
ôú	5288	1	20860
ô§	52C1	1	21030
ô∏	5323	1	21050
ô¡	5349	1	21059
ô”	7C12	1	21077
ô’	53DF	1	21079
ô÷	66FC	1	21080
ôÏ	5477	1	21102
ôÓ	5492	1	21104
ôı	54C7	1	21111
ö@	54AB	1	21281
öQ	5563	1	21298
ö[	5599	1	21308
öa	557E	1	21314
öc	559E	1	21316
ö|	5636	1	21341
öÄ	566B	1	21344
öñ	56D1	1	21366
ö†	570B	1	21538
ö™	574E	1	21548
ö±	5761	1	21555
ö“	58BA	1	21588
ö˜	5958	1	21625
ö˙	5967	1	21628
õI	59DC	1	21802
õO	5A11	1	21808
õY	5A6A	1	21818
õ]	5ACB	1	21822
õ_	5ABD	1	21824
õj	5B32	1	21835
õq	5B40	1	21842
õö	5C39	1	21882
õ®	5C91	1	22058
õª	5D15	1	22077
õ¿	5D11	1	22082
õ¡	5D14	1	22083
õƒ	5D19	1	22086
õ◊	5DBC	1	22105
õŸ	5DCD	1	22107
õ⁄	5DD3	1	22108
õË	5E44	1	22122
õÍ	5E40	1	22124
õÌ	5E54	1	22127
úU	5F11	1	22326
úo	5F99	1	22352
úz	5FDD	1	22363
ú{	60B3	1	22364
úÖ	601B	1	22373
úÜ	6015	1	22374
úâ	600F	1	22377
úã	605A	1	22379
úç	606A	1	22381
úò	606B	1	22392
úô	6059	1	22393
ú°	6096	1	22563
ú£	6092	1	22565
ú¨	60BD	1	22574
úÆ	60B5	1	22576
úØ	60D8	1	22577
ú≤	6106	1	22580
ú≥	60F6	1	22581
úª	60F1	1	22589
úø	613E	1	22593
ú¡	6127	1	22595
ú»	6142	1	22602
úœ	616B	1	22609
ú÷	6153	1	22616
úŸ	6196	1	22619
úÌ	61E6	1	22639
úÔ	61F6	1	22641
ú˘	620D	1	22651
ú¸	621B	1	22654
ùV	6283	1	22839
ù_	62C8	1	22848
ùb	62CA	1	22851
ùh	62EE	1	22857
ùi	62F1	1	22858
ùo	6350	1	22864
ùÄ	6369	1	22880
ùÑ	63C6	1	22884
ùÖ	63E3	1	22885
ùñ	6476	1	22902
ùù	6488	1	22909
ù£	64BB	1	23077
ù¨	64E3	1	23086
ù¥	64FD	1	23094
ùŒ	659F	1	23120
ù’	65CC	1	23127
ùÂ	664F	1	23143
ùË	6641	1	23146
ùÙ	6689	1	23158
ûC	66DA	1	23332
ûG	66E9	1	23336
ûe	67A1	1	23366
ûâ	6894	1	23401
ûä	689D	1	23402
ûê	68B5	1	23408
û∂	6954	1	23608
ûæ	6961	1	23616
ûœ	69C3	1	23633
û–	69A7	1	23634
ûﬁ	69F2	1	23648
ûÊ	6A0A	1	23656
ûı	6A38	1	23671
û˜	6A90	1	23673
û˘	6AA0	1	23675
û˙	6A84	1	23676
üA	8617	1	23842
üR	6B12	1	23859
üV	6B38	1	23863
üW	6B37	1	23864
ü]	6B49	1	23870
ü`	6B54	1	23873
üf	6B7F	1	23879
üm	6B9E	1	23886
üo	6BAA	1	23888
üz	6BDF	1	23899
ü{	6BEC	1	23900
üè	6C9B	1	23919
üë	6C68	1	23921
üï	6CC4	1	23925
üú	6CAE	1	23932
üû	6CBE	1	23934
ü£	6CEA	1	24101
ü¨	6D33	1	24110
üÆ	6D0C	1	24112
üØ	6D63	1	24113
ü∏	6D85	1	24122
ü¿	6DC6	1	24130
ü…	6DE4	1	24139
üÕ	6E2D	1	24143
ü€	6E3A	1	24157
ü‹	6E4E	1	24158
üﬂ	6E1D	1	24161
ü‡	6E38	1	24162
ü·	6E82	1	24163
üÂ	6EB7	1	24167
üÊ	6ED3	1	24168
üÚ	6F11	1	24180
‡d	6FFA	1	24389
‡e	7011	1	24390
‡h	6FFE	1	24393
‡r	7051	1	24403
‡v	70AF	1	24407
‡y	70B8	1	24410
‡Ä	70D9	1	24416
‡å	716C	1	24428
‡è	7184	1	24431
‡ï	71BE	1	24437
‡õ	71EC	1	24443
‡û	71FC	1	24446
‡™	723C	1	24620
‡≥	7281	1	24629
‡µ	7292	1	24631
‡ø	72D2	1	24641
‡…	7316	1	24651
‡À	7334	1	24653
‡”	7357	1	24661
‡‘	736A	1	24662
‡€	73C8	1	24669
‡Ë	7432	1	24682
‡Ï	745F	1	24686
‡˜	749E	1	24697
‡¯	74A7	1	24698
·K	7503	1	24876
·l	759D	1	24909
·w	75CD	1	24920
·{	75E3	1	24924
·}	75FE	1	24926
·ä	7627	1	24938
·ç	7622	1	24941
·°	7678	1	25123
·ß	768E	1	25129
·©	7693	1	25131
·±	76C2	1	25139
·π	76EA	1	25147
·»	775A	1	25162
·Œ	777E	1	25168
·÷	77B6	1	25176
·ÿ	77BF	1	25178
·€	77BB	1	25181
·‰	780C	1	25190
·Â	7812	1	25191
‚F	7911	1	25383
‚Ü	7ACA	1	25446
‚ã	7AD9	1	25451
‚ó	7B33	1	25463
‚ú	7B28	1	25468
‚†	7B04	1	25634
‚Ω	7BC6	1	25663
‚…	7BF7	1	25675
‚œ	7C2A	1	25681
‚€	7C5F	1	25693
‚Í	7CB2	1	25708
‚Î	7CB1	1	25709
‚Û	7CD2	1	25717
‚˙	7CF6	1	25724
„C	7D0A	1	25892
„W	7D7D	1	25912
„]	7DC7	1	25918
